;player_name;team;games_played;minutes_played;minutes_per_game;total_points;points_per_game
196;Jabari Smith Jr.;HOU;79;2450,5466666666666;31,01957805907173;1010;12,784810126582279
504;Trey Murphy III;NOP;79;2448,005;30,987405063291142;1148;14,531645569620252
99;Darius Garland;CLE;69;2447,15;35,46594202898551;1490;21,594202898550726
492;Tobias Harris;PHI;74;2435,8783333333336;32,917274774774775;1085;14,662162162162161
106;De'Aaron Fox;SAC;73;2435,241666666667;33,35947488584475;1826;25,013698630136986
132;Donovan Mitchell;CLE;68;2432,38;35,77029411764706;1922;28,264705882352942
417;Paolo Banchero;ORL;72;2429,7233333333334;33,74615740740741;1437;19,958333333333332
202;Jaden McDaniels;MIN;79;2416,4883333333332;30,588459915611814;953;12,063291139240507
463;Shai Gilgeous-Alexander;OKC;68;2415,985;35,52919117647059;2135;31,397058823529413
445;Royce O'Neale;BKN;76;2409,235;31,70046052631579;671;8,828947368421053
235;Jaylen Brown;BOS;67;2404,9183333333335;35,89430348258707;1784;26,62686567164179
341;Luka Doncic;DAL;66;2390,471666666667;36,21926767676768;2138;32,39393939393939
404;O.G. Anunoby;TOR;67;2385,6516666666666;35,60674129353234;1124;16,776119402985074
293;Keegan Murray;SAC;80;2381,673333333333;29,770916666666665;976;12,2
304;Kentavious Caldwell-Pope;DEN;76;2381,2066666666665;31,331666666666663;822;10,81578947368421
415;P.J. Washington;CHA;73;2379,5633333333335;32,59675799086758;1144;15,67123287671233
208;Jalen Brunson;NYK;68;2378,6716666666666;34,980465686274506;1633;24,014705882352942
46;Brook Lopez;MIL;78;2372,4766666666665;30,41636752136752;1239;15,884615384615385
271;Josh Giddey;OKC;76;2367,2716666666665;31,14831140350877;1260;16,57894736842105
435;Reggie Bullock;DAL;78;2364,485;30,313910256410256;561;7,1923076923076925
178;Immanuel Quickley;NYK;81;2344,105;28,939567901234568;1209;14,925925925925926
509;Tyler Herro;MIA;67;2335,391666666667;34,856592039801;1347;20,104477611940297
399;Nikola Jokic;DEN;69;2323,0066666666667;33,66676328502415;1690;24,492753623188406
422;Patrick Williams;CHI;82;2322,8416666666667;28,327337398373984;833;10,158536585365853
122;Derrick White;BOS;82;2319,3283333333334;28,2844918699187;1017;12,402439024390244
201;Jaden Ivey;DET;74;2304,3166666666666;31,139414414414414;1204;16,27027027027027
85;D'Angelo Russell;LAL;71;2304,096666666667;32,452065727699534;1263;17,788732394366196
137;Draymond Green;GSW;73;2297,635;31,474452054794522;617;8,452054794520548
305;Kenyon Martin Jr.;HOU;82;2292,1583333333333;27,953150406504065;1039;12,670731707317072
252;Joel Embiid;PHI;66;2284,1066666666666;34,607676767676764;2183;33,07575757575758
47;Bruce Brown;DEN;80;2279,485;28,493562500000003;923;11,5375
320;Klay Thompson;GSW;69;2278,911666666667;33,027705314009665;1509;21,869565217391305
215;Jalen Williams;OKC;75;2275,5916666666667;30,34122222222222;1056;14,08
332;Lauri Markkanen;UTA;66;2272,4866666666667;34,43161616161616;1691;25,62121212121212
340;Luguentz Dort;OKC;74;2272,3566666666666;30,70752252252252;1013;13,68918918918919
367;Max Strus;MIA;80;2271,9783333333335;28,399729166666667;923;11,5375
395;Nic Claxton;BKN;76;2270,6566666666668;29,877061403508772;961;12,644736842105264
242;Jerami Grant;POR;63;2245,525;35,64325396825397;1290;20,476190476190474
327;Kyrie Irving;DAL;60;2240,5733333333333;37,342888888888886;1623;27,05
325;Kyle Kuzma;WAS;64;2238,8516666666665;34,98205729166666;1357;21,203125
