;SEASON;PLAYER_ID;FIRST_NAME;LAST_NAME;PLAYER_NAME;POSITION;HEIGHT_WO_SHOES;HEIGHT_WO_SHOES_FT_IN;HEIGHT_W_SHOES;HEIGHT_W_SHOES_FT_IN;WEIGHT;WINGSPAN;WINGSPAN_FT_IN;STANDING_REACH;STANDING_REACH_FT_IN;BODY_FAT_PCT;HAND_LENGTH;HAND_WIDTH;STANDING_VERTICAL_LEAP;MAX_VERTICAL_LEAP;LANE_AGILITY_TIME;MODIFIED_LANE_AGILITY_TIME;THREE_QUARTER_SPRINT;BENCH_PRESS;SPOT_FIFTEEN_CORNER_LEFT;SPOT_FIFTEEN_BREAK_LEFT;SPOT_FIFTEEN_TOP_KEY;SPOT_FIFTEEN_BREAK_RIGHT;SPOT_FIFTEEN_CORNER_RIGHT;SPOT_COLLEGE_CORNER_LEFT;SPOT_COLLEGE_BREAK_LEFT;SPOT_COLLEGE_TOP_KEY;SPOT_COLLEGE_BREAK_RIGHT;SPOT_COLLEGE_CORNER_RIGHT;SPOT_NBA_CORNER_LEFT;SPOT_NBA_BREAK_LEFT;SPOT_NBA_TOP_KEY;SPOT_NBA_BREAK_RIGHT;SPOT_NBA_CORNER_RIGHT;OFF_DRIB_FIFTEEN_BREAK_LEFT;OFF_DRIB_FIFTEEN_TOP_KEY;OFF_DRIB_FIFTEEN_BREAK_RIGHT;OFF_DRIB_COLLEGE_BREAK_LEFT;OFF_DRIB_COLLEGE_TOP_KEY;OFF_DRIB_COLLEGE_BREAK_RIGHT;ON_MOVE_FIFTEEN;ON_MOVE_COLLEGE;Year
154;2020;1629604;CJ;Elleby;CJ Elleby;SG-SF;77,5;6'5.50'';78,2;6'6.25'';198.6;79,25;6'7.25'';100,5;8'4.50'';4,2;8,75;10,0;30,5;36,5;11,25;2,63;3,25;;;;;;;;;;;;;;;;;;;;;;;;;2020
155;2020;1630235;Trent;Forrest;Trent Forrest;PG;75,5;6'3.50'';76,7;6'4.75'';203;79,5;6'7.50'';102,5;8'6.50'';5,65;9,0;9,75;28,0;34,5;11,04;2,5;3,18;;;;;;;;;;;;;;;;;;;;;;;;;2020
156;2020;1630182;Josh;Green;Josh Green;SG-SF;76,5;6'4.50'';77,5;6'5.50'';214;81,75;6'9.75'';101,5;8'5.50'';6,8;8,0;8,75;30,5;39,5;10,64;2,28;3,12;;;;;;;;;;;;;;;;;;;;;;;;;2020
157;2020;1630204;Ashton;Hagans;Ashton Hagans;PG;73,5;6'1.50'';74,5;6'2.50'';193;80,0;6'8.00'';99,5;8'3.50'';4,1;9,0;9,0;29,5;36,5;10,82;2,5;3,13;;;;;;;;;;;;;;;;;;;;;;;;;2020
158;2020;1630221;Joshua;Hall;Joshua Hall;SF;78,0;6'6.00'';79,5;6'7.50'';196.6;83,0;6'11.00'';104,5;8'8.50'';7,6;8,75;9,5;31,5;37,5;12,16;2,62;3,38;;;;;;;;;;;;;;;;;;;;;;;;;2020
159;2020;1630223;Jalen;Harris;Jalen Harris;SG;74,75;6'2.75'';76,2;6'4.25'';193.4;79,0;6'7.00'';97,5;8'1.50'';4,4;8,25;9,5;37,5;42,5;10,59;2,49;3,11;;;;;;;;;;;;;;;;;;;;;;;;;2020
160;2020;1630210;Markus;Howard;Markus Howard;PG;69,5;5'9.50'';71,0;5'11.00'';170.8;72,25;6'0.25'';91,5;7'7.50'';9,91;8,5;7,75;30,5;35,5;11,21;3,17;3,11;;;;;;;;;;;;;;;;;;;;;;;;;2020
161;2020;1630190;Elijah;Hughes;Elijah Hughes;SF-SG;76,75;6'4.75'';78,5;6'6.50'';229;79,5;6'7.50'';101,5;8'5.50'';10,2;8,5;8,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020
162;2020;1630198;Isaiah;Joe;Isaiah Joe;SG;75,0;6'3.00'';76,5;6'4.50'';170.4;79,5;6'7.50'';101,0;8'5.00'';4,7;8,25;8,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020
163;2020;1630222;Mason;Jones;Mason Jones;SG;75,75;6'3.75'';77,7;6'5.75'';207.2;79,0;6'7.00'';102,5;8'6.50'';8,9;8,75;8,5;24,0;31,0;10,6;2,49;3,33;;;;;;;;;;;;;;;;;;;;;;;;;2020
164;2020;1630233;Nathan;Knight;Nathan Knight;PF-C;80,0;6'8.00'';81,7;6'9.75'';235;86,0;7'2.00'';109,5;9'1.50'';8,2;9,0;9,5;23,0;31,5;11,56;2,96;3,31;;;;;;;;;;;;;;;;;;;;;;;;;2020
165;2020;1630177;Theo;Maledon;Theo Maledon;PG;76,0;6'4.00'';77,0;6'5.00'';187.4;80,75;6'8.75'';100,5;8'4.50'';2,8;8,5;10,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020
166;2020;1630211;Karim;Mane;Karim Mane;PG-SG;77,0;6'5.00'';78,0;6'6.00'';196;83,0;6'11.00'';102,0;8'6.00'';3,73;8,5;9,75;31,0;36,0;11,52;2,64;3,04;;;;;;;;;;;;;;;;;;;;;;;;;2020
167;2020;1630230;Naji;Marshall;Naji Marshall;SF;77,75;6'5.75'';79,0;6'7.00'';233.5;84,75;7'0.75'';102,5;8'6.50'';8,7;9,25;10,5;28,5;35,0;11,77;2,9;3,37;;;;;;;;;;;;;;;;;;;;;;;;;2020
