;SEASON;PLAYER_ID;PLAYER_NAME;POSITION;HEIGHT_WO_SHOES;HEIGHT_W_SHOES;WEIGHT;WINGSPAN;STANDING_REACH;BODY_FAT_PCT;HAND_LENGTH;HAND_WIDTH;STANDING_VERTICAL_LEAP;MAX_VERTICAL_LEAP;LANE_AGILITY_TIME;MODIFIED_LANE_AGILITY_TIME;THREE_QUARTER_SPRINT
62;2018;1629021;Moritz Wagner;C-PF;2.1;2.12;109.5;2.13;2.74;6.75;0.23;0.27;0.69;0.86;11.48;3.07;3.18
63;2018;1629022;Lonnie Walker;SG;1.92;1.94;88.99;2.09;2.53;5.65;0.23;0.24;0.8;1.02;10.87;2.91;3.06
64;2018;1629023;PJ Washington;PF;1.99;2.03;101.15;2.2;2.72;6.85;0.23;0.26;0.69;0.86;11.39;3.43;3.2
65;2018;1629024;Austin Wiley;C;2.04;2.08;113.13;2.26;2.82;5.0;0.25;0.26;0.71;0.85;12.79;3.27;3.3
66;2018;1629025;Kris Wilkes;SF;1.99;2.02;92.99;2.09;2.63;5.15;0.22;0.23;0.71;0.9;11.29;3.16;3.24
67;2018;1629026;Kenrich Williams;SF;1.98;2.02;90.9;2.01;2.63;5.95;0.22;0.25;0.71;0.84;10.86;3.28;3.19
68;2018;1629027;Trae Young;PG;1.84;1.87;80.65;1.9;2.43;5.35;0.2;0.23;-;-;-;-;-
69;2019;1629638;Nickeil Alexander-Walker;SG;1.94;1.97;92.44;2.07;2.59;5.9;0.22;0.22;-;-;-;-;-
70;2019;1629628;RJ Barrett;SF;-;-;-;-;-;-;-;-;-;-;-;-;-
71;2019;1629646;Charles Bassey;C;2.05;2.08;108.41;2.22;2.78;8.5;0.23;0.24;0.74;0.84;12.65;3.27;3.53
72;2019;1629647;Darius Bazley;PF;2.03;2.06;94.53;2.13;2.72;3.6;0.23;0.25;0.77;0.94;11.09;2.95;3.27
73;2019;1629626;Bol Bol;C;2.15;2.2;94.35;2.31;2.93;7.1;0.23;0.24;-;-;-;-;-
74;2019;1629648;Jordan Bone;SG;1.87;1.9;81.19;1.91;2.41;5.0;0.19;0.23;0.91;1.08;9.97;2.78;3.08
75;2019;1628968;Brian Bowen II;SF;1.99;2.02;90.72;2.08;2.62;6.5;0.22;0.25;0.81;0.9;10.98;3.21;3.26
76;2019;1629065;Ky Bowman;PG;1.85;1.89;82.19;2.01;2.49;4.9;0.21;0.23;0.7;0.84;11.11;3.11;3.26
77;2019;1629649;Ignas Brazdeikis;SF;1.97;2.01;100.15;2.06;2.59;6.0;0.22;0.24;0.79;0.93;11.06;3.17;3.36
78;2019;1629052;O'Shae Brissett;SF-PF;2.01;2.03;92.17;2.13;2.64;2.9;0.23;0.24;0.86;0.95;11.3;3.18;3.48
79;2019;1629650;Moses Brown;C;2.17;2.2;107.59;2.25;2.87;7.8;0.24;0.26;0.69;0.79;11.95;3.3;3.51
80;2019;1629634;Brandon Clarke;SF;2.01;2.04;93.98;2.04;2.59;4.9;0.21;0.24;0.86;1.03;10.61;3.05;3.15
81;2019;1629651;Nicolas Claxton;C;2.08;2.13;98.25;2.2;2.79;4.5;0.23;0.24;0.8;0.93;11.26;3.47;3.36
82;2019;1629076;Tyler Cook;PF;2.01;2.05;111.31;2.15;2.71;6.1;0.24;0.27;0.7;0.81;11.32;3.1;3.28
83;2019;1629633;Jarrett Culver;SG;1.96;2.0;88.09;2.07;2.55;5.0;0.21;0.22;-;-;-;-;-
84;2019;1629056;Terence Davis;SG;1.9;1.94;87.27;2.05;2.57;4.1;0.23;0.27;0.75;0.86;10.69;2.96;3.28
85;2019;1629652;Luguentz Dort;PG;1.9;1.94;100.79;2.04;2.53;5.0;0.22;0.23;0.83;0.97;10.79;3.13;3.22
86;2019;1629653;Devon Dotson;PG;1.83;1.88;81.01;1.91;2.43;5.9;0.21;0.24;0.76;0.98;10.63;2.8;3.04
87;2019;1629654;Carsen Edwards;PG;1.8;1.84;90.45;1.98;2.4;5.5;0.22;0.23;0.72;0.86;10.53;2.82;3.22
88;2019;1629605;Tacko Fall;C;2.27;2.31;131.0;2.5;3.11;6.8;0.27;0.27;0.56;0.67;13.01;3.46;3.78
89;2019;1628981;Bruno Fernando;C;2.05;2.09;107.5;2.22;2.79;5.4;0.23;0.25;0.75;0.85;11.29;3.05;3.21
90;2019;1629655;Daniel Gafford;PF;2.06;2.1;107.77;2.2;2.79;5.9;0.23;0.23;0.83;0.93;11.61;3.19;3.25
91;2019;1629636;Darius Garland;PG;-;-;-;-;-;-;-;-;-;-;-;-;-
92;2019;1629656;Quentin Grimes;SG;1.93;1.96;95.07;2.03;2.55;8.4;0.21;0.25;0.7;0.91;10.83;3.28;3.2
93;2019;1629657;Kyle Guy;SG;1.85;1.89;76.11;1.94;2.43;5.7;0.2;0.22;0.77;0.93;10.48;3.07;3.27
94;2019;1628986;Jaylen Hands;PG;1.87;1.9;81.83;1.97;2.46;5.1;0.2;0.21;0.84;1.05;10.73;3.03;3.12
95;2019;1629607;Jared Harper;PG;1.77;1.8;76.75;1.97;2.39;3.9;0.21;0.24;0.85;1.03;10.77;3.02;3.04
96;2019;1629637;Jaxson Hayes;PF;2.09;2.12;99.16;2.22;2.81;5.0;0.23;0.27;0.69;0.88;11.74;3.23;3.37
97;2019;1629608;Dewan Hernandez;C;2.06;2.09;105.6;2.18;2.72;6.1;0.24;0.26;0.77;0.9;11.46;3.25;3.28
98;2019;1629639;Tyler Herro;SG;1.94;1.98;87.27;1.91;2.55;7.1;0.2;0.22;-;-;-;-;-
99;2019;1629658;Jalen Hoard;PF;2.01;2.06;96.43;2.15;2.68;6.7;0.22;0.25;0.7;0.9;11.44;3.32;3.34
100;2019;1629659;Talen Horton-Tucker;SG;1.89;1.93;106.78;2.17;2.62;8.4;0.24;0.25;0.66;0.88;11.34;3.43;3.34
101;2019;1629631;De'Andre Hunter;;-;-;-;-;-;-;-;-;-;-;-;-;-
102;2019;1629610;DaQuan Jeffries;SF-PF;1.93;1.96;97.79;2.11;2.64;3.9;0.24;0.26;-;-;-;-;-
103;2019;1629660;Ty Jerome;PG;1.94;1.97;88.18;1.93;2.49;6.5;0.21;0.24;0.66;0.8;11.21;3.12;3.4
104;2019;1629640;Keldon Johnson;SG;1.95;1.98;98.16;2.06;2.64;5.6;0.2;0.23;-;-;-;-;-
105;2019;1629661;Cameron Johnson;SG;2.01;2.04;93.08;2.08;2.62;5.8;0.2;0.22;0.77;0.93;10.52;3.28;3.26
106;2019;1629662;Mfiondu Kabengele;PF;2.05;2.09;116.21;2.21;2.78;5.1;0.23;0.27;0.71;0.9;11.21;3.3;3.25
107;2019;1629663;Louis King;SF;2.0;2.03;88.54;2.14;2.65;4.8;0.2;0.22;0.74;0.84;10.99;3.05;3.28
108;2019;1629641;Romeo Langford;SG;1.94;1.98;-;2.11;2.62;-;0.23;0.23;-;-;-;-;-
109;2019;1629664;Dedric Lawson;PF;2.01;2.04;105.69;2.19;2.73;8.9;0.25;0.25;0.6;0.66;11.8;3.54;3.6
110;2019;1629665;Jalen Lecque;PG;1.89;1.94;84.01;2.04;2.5;4.0;0.22;0.22;0.89;1.09;11.09;3.3;3.29
111;2019;1629642;Nassir Little;SF;1.94;1.98;101.7;2.17;2.65;5.9;0.22;0.25;0.79;0.98;12.15;3.1;3.24
112;2019;1629611;Terance Mann;SG-SF;1.95;1.99;92.8;2.03;2.57;4.0;0.24;0.23;0.83;0.98;11.51;3.14;3.3
113;2019;1628998;Cody Martin;PG-SG;1.95;1.97;87.18;2.09;2.6;5.0;0.21;0.23;0.71;0.9;10.44;2.99;3.32
114;2019;1629666;Charles Matthews;SG;1.96;1.99;88.36;2.07;2.62;3.8;0.22;0.22;0.75;0.95;11.26;3.24;3.38
115;2019;1629667;Jalen McDaniels;SF;2.04;2.08;86.91;2.14;2.68;5.7;0.23;0.25;0.75;0.85;11.54;3.23;3.32
116;2019;1629630;Ja Morant;PG;-;-;-;-;-;-;-;-;-;-;-;-;-
117;2019;1629668;Zach Norvell Jr.;SG;1.94;1.97;93.62;1.98;2.57;7.5;0.22;0.24;0.61;0.76;11.6;3.34;3.43
118;2019;1629669;Jaylen Nowell;SG;1.91;1.94;91.81;2.01;2.49;6.1;0.21;0.22;0.81;0.98;10.76;3.13;3.23
119;2019;1629670;Jordan Nwora;PF;1.97;2.02;99.79;2.1;2.62;7.8;0.22;0.23;-;-;-;-;-
120;2019;1629643;Chuma Okeke;;-;-;-;-;-;-;-;-;-;-;-;-;-
121;2019;1629644;KZ Okpala;SF;2.01;2.07;95.07;2.18;2.71;4.6;0.23;0.23;0.77;0.94;10.88;3.13;3.38
122;2019;1629671;Miye Oni;SG;1.94;1.97;93.26;2.1;2.55;4.9;0.23;0.25;0.77;0.98;11.71;3.12;3.17
123;2019;1629672;Eric Paschall;SF;1.98;2.01;115.39;2.23;2.63;6.3;0.23;0.24;0.84;0.97;11.63;3.26;3.3
124;2019;1629617;Reggie Perry;SF-PF;2.03;2.06;113.76;2.15;2.69;6.7;0.23;0.25;0.72;0.8;12.46;3.4;3.3
125;2019;1629044;Shamorie Ponds;PG;1.82;1.84;81.65;1.92;2.45;9.8;0.2;0.2;0.74;0.94;11.01;3.07;3.2
126;2019;1629673;Jordan Poole;SG;1.92;1.97;86.55;2.0;2.53;7.5;0.21;0.22;0.71;0.9;10.59;3.14;3.27
127;2019;1629007;Jontay Porter;PF;2.08;2.11;95.44;2.13;2.78;8.5;0.22;0.24;-;-;-;-;-
128;2019;1629645;Kevin Porter Jr.;SG;1.93;1.97;96.43;2.06;2.62;5.1;0.22;0.22;0.69;0.86;10.82;3.03;3.14
129;2019;1629674;Neemias Queta;C;2.1;2.14;102.42;2.24;2.83;6.3;0.24;0.28;0.61;0.83;12.04;3.45;3.73
130;2019;1629629;Cameron Reddish;SF;1.99;2.03;94.26;2.15;2.68;4.7;0.23;0.23;-;-;-;-;-
131;2019;1629675;Naz Reid;PF;2.04;2.07;116.03;2.22;2.77;14.0;0.24;0.23;0.66;0.83;12.03;3.76;3.42
132;2019;1629676;Isaiah Roby;PF;2.01;2.04;97.07;2.16;2.69;3.9;0.23;0.27;0.83;0.9;10.63;3.05;3.25
133;2019;1629677;Luka Samanic;PF;2.07;2.11;103.06;2.1;2.72;5.6;0.22;0.23;0.69;0.97;11.01;3.03;3.27
134;2019;1629678;Admiral Schofield;SF;1.93;1.96;109.13;2.08;2.6;6.8;0.22;0.23;0.76;0.86;10.77;2.87;3.37
135;2019;1629621;Marial Shayok;SF-PF;1.94;1.97;89.27;2.14;2.63;4.7;0.22;0.23;0.75;0.93;11.16;3.04;3.37
136;2019;1629679;Simisola Shittu;PF;2.04;2.07;103.06;2.17;2.69;6.2;0.22;0.22;0.69;0.9;11.85;3.24;3.3
137;2019;1629681;Killian Tillie;;-;-;-;-;-;-;-;-;-;-;-;-;-
138;2019;1629023;P.J. Washington;PF;1.99;2.03;104.51;2.2;2.71;8.6;0.23;0.26;-;-;-;-;-
139;2019;1629682;Tremont Waters;PG;1.77;1.8;78.2;1.89;2.37;6.6;0.2;0.25;0.77;1.03;10.76;3.11;3.07
140;2019;1629683;Quinndary Weatherspoon;SG;1.9;1.94;93.71;2.06;2.54;6.1;0.22;0.23;0.79;0.97;11.57;3.15;3.16
141;2019;1629632;Coby White;PG;1.92;1.95;86.82;1.96;2.48;4.3;0.2;0.23;-;-;-;-;-
142;2019;1629025;Kris Wilkes;SF;1.99;2.03;94.71;2.1;2.62;4.9;0.22;0.24;0.7;0.89;10.39;3.09;3.34
143;2019;1629684;Grant Williams;PF;1.97;2.02;108.95;2.08;2.65;5.4;0.23;0.27;0.66;0.8;10.83;3.27;3.33
144;2019;1629627;Zion Williamson;PF;-;-;-;-;-;-;-;-;-;-;-;-;-
145;2019;1629685;Dylan Windler;SF;1.99;2.02;88.81;2.08;2.65;4.6;0.21;0.24;0.74;0.95;10.7;2.94;3.3
146;2020;1630173;Precious Achiuwa;PF;2.02;2.05;106.14;2.15;2.76;6.7;0.23;0.25;-;-;-;-;-
147;2020;1630234;Ty-Shon Alexander;SG;1.88;1.93;91.08;2.03;2.54;12.3;0.22;0.22;0.71;0.84;11.33;2.47;3.26
148;2020;1628962;Udoka Azubuike;C;2.08;2.12;117.71;2.32;2.77;9.61;0.23;0.25;0.94;1.04;11.82;3.61;3.23
149;2020;1630189;Tyler Bey;PF;1.98;2.01;96.52;2.17;2.68;5.0;0.22;0.23;0.94;1.1;11.35;2.75;3.17
150;2020;1630213;Yoeli Childs;PF;1.98;2.01;102.69;2.12;2.69;8.2;0.22;0.25;0.86;0.98;10.87;2.42;3.22
151;2020;1629603;Mamadi Diakite;PF;2.04;2.09;100.74;2.23;2.72;7.83;0.23;0.26;0.71;0.94;11.95;2.71;3.16
152;2020;1629653;Devon Dotson;PG;1.84;1.87;84.01;1.9;2.41;4.6;0.21;0.25;0.8;1.03;10.44;2.22;3.02
153;2020;1630220;Paul Eboua;SF-PF;1.98;2.02;100.79;2.22;2.74;3.8;0.23;0.26;0.84;0.9;10.79;2.44;3.19
154;2020;1629604;CJ Elleby;SG-SF;1.97;1.99;90.08;2.01;2.55;4.2;0.22;0.25;0.77;0.93;11.25;2.63;3.25
155;2020;1630235;Trent Forrest;PG;1.92;1.95;92.08;2.02;2.6;5.65;0.23;0.25;0.71;0.88;11.04;2.5;3.18
156;2020;1630182;Josh Green;SG-SF;1.94;1.97;97.07;2.08;2.58;6.8;0.2;0.22;0.77;1.0;10.64;2.28;3.12
157;2020;1630204;Ashton Hagans;PG;1.87;1.89;87.54;2.03;2.53;4.1;0.23;0.23;0.75;0.93;10.82;2.5;3.13
158;2020;1630221;Joshua Hall;SF;1.98;2.02;89.18;2.11;2.65;7.6;0.22;0.24;0.8;0.95;12.16;2.62;3.38
159;2020;1630223;Jalen Harris;SG;1.9;1.94;87.72;2.01;2.48;4.4;0.21;0.24;0.95;1.08;10.59;2.49;3.11
160;2020;1630210;Markus Howard;PG;1.77;1.8;77.47;1.84;2.32;9.91;0.22;0.2;0.77;0.9;11.21;3.17;3.11
161;2020;1630190;Elijah Hughes;SF-SG;1.95;1.99;103.87;2.02;2.58;10.2;0.22;0.22;-;-;-;-;-
162;2020;1630198;Isaiah Joe;SG;1.9;1.94;77.29;2.02;2.57;4.7;0.21;0.21;-;-;-;-;-
