,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,VIDEO_AVAILABLE_FLAG
23,2021-22,2544,LeBron James,LeBron,1610612747,LAL,Los Angeles Lakers,0022100680,2022-01-19T00:00:00,LAL vs. IND,L,37.41166666666667,11,22,0.5,3,7,0.429,5,7,0.714,1,11,12,5,3,2,0,2,1,6,30,-20,54.9,1,0,54.0,1,26,26,26,24,31,26,35,16,32,17,17,19,35,17,6,7,33,27,10,37,44,6,19,28,50,24,1,7,23,1
24,2021-22,2544,LeBron James,LeBron,1610612747,LAL,Los Angeles Lakers,0022100665,2022-01-17T00:00:00,LAL vs. UTA,W,37.285,9,20,0.45,3,8,0.375,4,8,0.5,0,7,7,7,1,1,1,1,1,7,25,11,48.9,0,0,46.0,1,1,1,1,27,41,34,42,16,23,27,26,14,49,36,23,31,15,51,23,20,26,6,11,43,9,35,22,7,40,1
25,2021-22,2544,LeBron James,LeBron,1610612747,LAL,Los Angeles Lakers,0022100649,2022-01-15T00:00:00,LAL @ DEN,L,30.7,9,23,0.391,2,8,0.25,5,7,0.714,1,8,9,2,1,0,2,2,0,6,25,-17,43.8,0,0,42.0,1,26,26,26,53,41,19,48,32,23,40,17,19,35,17,16,20,54,51,40,4,44,1,19,43,47,46,22,7,46,1
26,2021-22,2544,LeBron James,LeBron,1610612747,LAL,Los Angeles Lakers,0022100626,2022-01-12T00:00:00,LAL @ SAC,L,38.93333333333333,13,29,0.448,3,12,0.25,5,10,0.5,1,6,7,6,1,0,1,2,2,5,34,-12,53.4,0,0,52.0,1,26,26,26,18,13,2,43,16,4,40,17,7,49,17,34,31,21,51,40,20,44,23,28,14,44,26,22,7,29,1
27,2021-22,2544,LeBron James,LeBron,1610612747,LAL,Los Angeles Lakers,0022100606,2022-01-09T00:00:00,LAL vs. MEM,L,33.36666666666667,14,19,0.737,3,4,0.75,4,4,1.0,6,3,9,7,3,0,0,1,4,7,35,-30,53.3,0,0,54.0,1,26,26,26,51,8,39,1,16,52,1,26,37,1,1,50,20,15,27,40,37,26,46,11,13,56,27,22,7,23,1
28,2021-22,2544,LeBron James,LeBron,1610612747,LAL,Los Angeles Lakers,0022100589,2022-01-07T00:00:00,LAL vs. ATL,W,36.5,13,24,0.542,1,6,0.167,5,5,1.0,1,7,8,9,4,4,3,0,4,4,32,4,72.1,0,0,64.0,1,1,1,1,34,13,17,29,46,44,47,17,29,1,17,23,27,9,15,1,2,1,46,36,22,21,2,22,7,6,1
29,2021-22,2544,LeBron James,LeBron,1610612747,LAL,Los Angeles Lakers,0022100566,2022-01-04T00:00:00,LAL vs. SAC,W,36.475,12,26,0.462,3,10,0.3,4,5,0.8,2,3,5,5,2,0,1,2,3,4,31,3,45.5,0,0,46.0,1,1,1,1,35,26,8,40,16,9,34,26,29,23,8,50,45,33,42,40,20,44,36,36,25,22,43,22,7,40,1
30,2021-22,2544,LeBron James,LeBron,1610612747,LAL,Los Angeles Lakers,0022100551,2022-01-02T00:00:00,LAL vs. MIN,W,39.21666666666667,7,15,0.467,3,9,0.333,9,12,0.75,0,7,7,5,1,3,1,1,2,9,26,9,52.9,0,0,49.0,1,1,1,1,17,50,53,38,16,14,30,2,2,26,36,23,31,33,51,4,20,26,23,1,38,11,28,22,7,36,1
31,2021-22,2544,LeBron James,LeBron,1610612747,LAL,Los Angeles Lakers,0022100538,2021-12-31T00:00:00,LAL vs. POR,W,29.3,16,26,0.615,5,10,0.5,6,9,0.667,2,12,14,4,0,2,2,0,1,6,43,18,77.8,1,0,74.0,1,1,1,1,55,4,8,9,5,9,10,13,9,37,8,2,2,45,55,10,4,1,6,19,3,3,1,1,7,2,1
32,2021-22,2544,LeBron James,LeBron,1610612747,LAL,Los Angeles Lakers,0022100520,2021-12-29T00:00:00,LAL @ MEM,L,37.95,13,25,0.52,8,14,0.571,3,3,1.0,2,11,13,7,5,2,2,2,1,4,37,0,70.1,1,0,73.0,1,26,26,26,22,13,13,33,1,1,5,36,44,1,8,6,5,15,9,10,4,44,6,36,10,25,5,1,7,3,1
33,2021-22,2544,LeBron James,LeBron,1610612747,LAL,Los Angeles Lakers,0022100511,2021-12-28T00:00:00,LAL @ HOU,W,39.45,11,19,0.579,3,5,0.6,7,9,0.778,4,6,10,11,3,1,2,0,3,7,32,6,66.5,1,1,62.0,1,1,1,1,15,31,39,16,16,49,4,11,9,25,2,34,14,3,27,23,4,1,36,11,22,19,9,1,1,8,1
34,2021-22,2544,LeBron James,LeBron,1610612747,LAL,Los Angeles Lakers,0022100491,2021-12-25T00:00:00,LAL vs. BKN,L,39.88333333333333,14,25,0.56,3,9,0.333,8,9,0.889,1,8,9,7,3,3,1,1,2,7,39,9,69.3,0,0,66.0,1,26,26,26,11,8,13,25,16,14,30,4,9,19,17,16,20,15,27,4,20,26,23,11,4,11,6,22,7,5,1
35,2021-22,2544,LeBron James,LeBron,1610612747,LAL,Los Angeles Lakers,0022100487,2021-12-23T00:00:00,LAL vs. SAS,L,34.666666666666664,15,26,0.577,2,7,0.286,4,6,0.667,2,7,9,6,3,1,2,1,2,5,36,-23,61.8,0,0,59.0,1,26,26,26,45,6,8,19,32,32,36,26,24,37,8,23,20,21,27,23,4,26,23,28,11,53,11,22,7,13,1
36,2021-22,2544,LeBron James,LeBron,1610612747,LAL,Los Angeles Lakers,0022100469,2021-12-21T00:00:00,LAL vs. PHX,L,34.0,13,19,0.684,2,5,0.4,6,6,1.0,0,7,7,2,2,2,0,0,1,4,34,0,49.4,0,0,49.0,1,26,26,26,49,13,39,3,32,49,24,13,24,1,36,23,31,54,42,10,37,1,6,36,14,25,34,22,7,36,1
37,2021-22,2544,LeBron James,LeBron,1610612747,LAL,Los Angeles Lakers,0022100448,2021-12-19T00:00:00,LAL @ CHI,L,39.41166666666667,11,21,0.524,1,7,0.143,8,11,0.727,1,13,14,6,4,1,2,2,5,7,31,-1,61.8,1,0,58.0,1,26,26,26,16,31,30,31,46,32,50,4,4,32,17,1,2,21,15,23,4,44,53,11,25,27,11,1,7,15,1
